benchmark_run,suite,type,total_errors,timeout,connection,other,cancelled
bench-local-single-gemma4-2026-04-18_01-49-55,workspace,attack,0,0,0,0,7
bench-local-single-gemma4r1-2026-05-19_13-36-06,banking,user,0,0,0,0,1
bench-local-single-gemma4r1-2026-05-19_13-36-06,banking,injection,0,0,0,0,0
bench-local-single-gemma4r1-2026-05-19_13-36-06,banking,attack,1,1,0,0,1
bench-local-single-gemma4r1-2026-05-19_13-36-06,slack,user,0,0,0,0,0
bench-local-single-gemma4r1-2026-05-19_13-36-06,slack,injection,0,0,0,0,0
bench-local-single-gemma4r1-2026-05-19_13-36-06,slack,attack,0,0,0,0,10
bench-local-single-gemma4r1-2026-05-19_13-36-06,travel,user,0,0,0,0,0
bench-local-single-gemma4r1-2026-05-19_13-36-06,travel,injection,0,0,0,0,1
bench-local-single-gemma4r1-2026-05-19_13-36-06,travel,attack,0,0,0,0,0
bench-local-single-gemma4r1-2026-05-19_13-36-06,workspace,user,0,0,0,0,1
bench-local-single-gemma4r1-2026-05-19_13-36-06,workspace,injection,0,0,0,0,0
bench-local-single-gemma4r1-2026-05-19_13-36-06,workspace,attack,0,0,0,0,5
